Kecamatan,SD Negeri,SD Swasta,SMP Negeri,SMP Swasta,SMA Negeri,SMA Swasta,SMK Negeri,SMK Swasta,Jumlah SD (Negeri + Swasta),Jumlah SMP (Negeri + Swasta),Jumlah SMA (Negeri + Swasta),Jumlah SMK (Negeri + Swasta),Jumlah Sekolah (Daerah)
Mranggen,43,10,3,12,2,3,-,13,53,15,5,13,86
Karangawen,28,1,2,5,-,2,1,3,29,7,2,4,42
Guntur,39,-,3,1,1,-,-,3,39,4,1,3,47
Sayung,34,1,3,5,1,1,1,3,35,8,2,4,49
Karangtengah,27,-,2,2,1,2,-,4,27,4,3,4,38
Bonang,36,-,3,5,-,2,-,3,36,8,2,3,49
Demak,48,5,5,7,3,3,2,6,53,12,6,8,79
Wonosalam,41,2,2,5,-,3,-,7,43,7,3,7,60
Dempet,32,1,2,-,1,-,-,-,33,2,1,0,36
Kebonagung,26,-,1,1,-,-,-,2,26,2,0,2,30
Gajah,31,-,3,3,-,1,-,3,31,6,1,3,41
Karanganyar,29,1,2,-,1,-,-,1,30,2,1,1,34
Mijen,27,-,3,2,1,1,-,4,27,5,2,4,38
Wedung,25,1,4,1,1,2,-,2,26,5,3,2,36
