Kecamatan,Murid SD (Negeri),Murid SD (Swasta),Murid SMP (Negeri),Murid SMP (Swasta),Murid SMA (Negeri),Murid SMA (Swasta),Murid SMK (Negeri),Murid SMK (Swasta),Jumlah Murid SD (Negeri+Swasta),Jumlah Murid SMP (Negeri+Swasta),Jumlah Murid SMA (Negeri+Swasta),Murid SMK (Negeri+Swasta),Jmlah Murid (Daerah)
Mranggen,10878,2554,2927,2172,2318,1201,-,3756,13432,5099,3519,3756,25806
Karangawen,6738,62,1709,1005,-,650,1022,1288,6800,2714,650,2310,12474
Guntur,5948,-,1133,33,917,-,-,387,5948,1166,917,387,8418
Sayung,8190,176,1649,979,592,20,870,400,8366,2628,612,1270,12876
Karangtengah,6026,-,1337,151,1139,175,-,285,6026,1488,1314,285,9113
Bonang,7475,-,1339,539,-,618,-,332,7475,1878,618,332,10303
Demak,8183,1992,4295,796,3843,128,2875,995,10175,5091,3971,3870,23107
Wonosalam,6563,714,1038,1065,-,618,-,2601,7277,2103,618,2601,12599
Dempet,4540,148,1395,-,1272,-,-,-,4688,1395,1272,-,7355
Kebonagung,3268,-,889,84,-,-,-,332,3268,973,-,332,4573
Gajah,4229,-,979,766,-,229,-,617,4229,1745,229,617,6820
Karanganyar,5407,110,838,-,1115,-,-,192,5517,838,1115,192,7662
Mijen,4196,-,1192,249,1070,126,-,559,4196,1441,1196,559,7392
Wedung,4378,161,799,3,530,114,-,559,4539,802,644,559,6544
